route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color
S7Aa10,1,S7,Saint Cyr --> La Chaux Ecole de Champlong,REG,3,007632
S8Aa19,1,S8,Buissière Viralamande --> Rillieux Victor Hugo,REG,3,007632
S8Ar19,1,S8,Rillieux Victor Hugo --> Buissière Viralamande,REG,3,007632
S9Aa11,1,S9,Jean Giono --> Moly,REG,3,007632
S9Ar11,1,S9,Moly --> Jean Giono,REG,3,007632
S10Aa11,1,S10,Joannès Carret --> Lycée Jean Perrin,REG,3,007632
S10Ar11,1,S10,Lycée Jean Perrin --> Joannès Carret,REG,3,007632
S11Aa8,1,S11,Gare de Vaise --> Le Château Duchère,REG,3,007632
S11Ar8,1,S11,Le Château Duchère --> Gare de Vaise,REG,3,007632
S12Aa13,1,S12,Hôtel de Ville L. Pradel --> Croix-Rousse,REG,3,007632
S12Ar13,1,S12,Croix-Rousse --> Hôtel de Ville L. Pradel,REG,3,007632
S14Aa16,1,S14,Neuville --> Neuville,REG,3,007632
S15Aa14,1,S15,Ecully Le Trouillat --> Les Sources,REG,3,007632
S15Ar14,1,S15,Les Sources --> Ecully Le Trouillat,REG,3,007632
S16Aa8,1,S16,Ecully Le Perollier --> Collonges Gare,REG,3,007632
S16Ar8,1,S16,Collonges Gare --> Ecully Le Perollier,REG,3,007632
ZI1Aa11,1,ZI1,Gare de Vénissieux --> St Priest Gare,REG,3,009FE3
ZI1Ar11,1,ZI1,St Priest Gare --> Gare de Vénissieux,REG,3,009FE3
ZI2Aa9,1,ZI2,Meyzieu Z.i. --> Z.I. Sud,REG,3,009FE3
ZI2Ar9,1,ZI2,Z.I. Sud --> Meyzieu Z.i.,REG,3,009FE3
ZI3Aa11,1,ZI3,Vaulx-en-Velin La Soie --> Z.I. Vaulx-en-Velin Est,REG,3,009FE3
ZI3Ar11,1,ZI3,Z.I. Vaulx-en-Velin Est --> Vaulx-en-Velin La Soie,REG,3,009FE3
ZI4Aa13,1,ZI4,Vaulx-en-Velin La Soie --> Caluire Chemin Petit,REG,3,009FE3
ZI4Ar13,1,ZI4,Caluire Chemin Petit --> Vaulx-en-Velin La Soie,REG,3,009FE3
ZI5Ba17,1,ZI5,Vaulx-en-Velin La Soie --> Rond-Point d'Italie,REG,3,009FE3
ZI5Br17,1,ZI5,Rond-Point d'Italie --> Vaulx-en-Velin La Soie,REG,3,009FE3
ZI7Aa5,1,ZI7,Vaulx-en-Velin La Soie --> Bron Droits de l'Homme,REG,3,009FE3
ZI7Ar5,1,ZI7,Bron Droits de l'Homme --> Vaulx-en-Velin La Soie,REG,3,009FE3
ZI8Aa4,1,ZI8,St Priest Jules Ferry --> Parc des Lumières 1,REG,3,009FE3
ZI8Ar4,1,ZI8,Parc des Lumières 1 --> St Priest Jules Ferry,REG,3,009FE3
