from_stop_id,to_stop_id,transfer_type,min_transfer_time
46156,10347,2,120
46154,2545,2,120
35094,2545,2,120
46160,46310,2,180
46159,46310,2,180
45862,11505,2,180
45862,45822,2,180
46159,46031,2,180
45883,46024,2,180
46159,46032,2,180
46160,46032,2,180
45883,46025,2,180
46160,46031,2,180
47306,47305,2,60
47295,47296,2,60
47289,47290,2,60
47291,47292,2,60
47294,47293,2,60
47293,47294,2,60
47298,47297,2,60
47292,47291,2,60
47297,47298,2,60
47306,47323,2,60
47299,47300,2,60
47303,47304,2,60
47308,47307,2,60
47300,47299,2,60
46160,47287,2,60
47296,47295,2,60
47301,47302,2,60
47305,47306,2,60
47290,47289,2,60
47305,47323,2,60
46159,47287,2,60
47302,47301,2,60
47304,47303,2,60
39455,32148,2,180
39455,32149,2,180
35676,46206,2,60
45869,45870,2,60
45861,45862,2,60
45863,45864,2,60
45863,900,2,120
45863,899,2,120
45861,37408,2,180
45861,38834,2,180
45863,901,2,120
45863,902,2,120
39395,39917,2,180
39409,1162,2,180
39393,39914,2,180
39434,39920,2,180
39413,39919,2,180
39434,43917,2,180
39395,39534,2,180
39393,47072,2,180
39392,47072,2,180
39413,39920,2,180
39394,39917,2,180
39408,1162,2,180
39413,43917,2,180
39392,39914,2,180
39434,39919,2,180
39409,1161,2,180
39394,39534,2,180
39408,1161,2,180
39377,39894,2,180
39377,40014,2,180
39380,40016,2,180
39381,47213,2,180
39376,39894,2,180
39381,40016,2,180
39376,40014,2,180
39378,39898,2,180
39379,39898,2,180
39379,3466,2,180
39380,47213,2,180
39378,3466,2,180
45869,30366,2,180
39377,46632,2,180
45861,1892,2,180
39376,46632,2,180
39383,874,2,180
39382,873,2,180
39382,874,2,180
39383,873,2,180
45861,1889,2,180
39388,30447,2,180
39388,30448,2,180
39389,30448,2,180
39389,30447,2,180
39376,39895,2,180
39377,39895,2,180
39407,39974,2,180
39386,1321,2,180
39387,1320,2,180
39390,40178,2,180
39386,1320,2,180
39388,40115,2,180
39391,40179,2,180
39391,40178,2,180
39407,39975,2,180
39406,39975,2,180
39389,40036,2,180
39388,40036,2,180
39387,1321,2,180
39406,39974,2,180
39389,40115,2,180
39390,40179,2,180
39391,40222,2,180
39390,40222,2,180
39391,40135,2,180
39390,40135,2,180
39402,39949,2,180
39413,39942,2,180
39413,39941,2,180
39403,39950,2,180
39434,39941,2,180
39403,39949,2,180
39402,39950,2,180
39434,39942,2,180
39389,37301,2,180
39388,37301,2,180
39388,37295,2,180
39389,37295,2,180
45861,45822,2,180
45861,11505,2,180
39407,47424,2,180
39406,47424,2,180
39387,43307,2,180
39386,43307,2,180
434,32127,2,300
35834,32120,2,360
435,32126,2,300
42557,32129,2,180
45801,32121,2,180
42558,32128,2,180
45801,32120,2,180
42558,32129,2,180
435,32127,2,300
434,32126,2,300
35834,32121,2,240
42557,32128,2,180
35834,45884,2,180
35834,35659,2,360
35834,45848,2,180
35834,45883,2,180
42557,42558,2,60
35834,45802,2,180
45801,32503,2,180
45801,35834,2,180
2206,35954,2,180
281,276,2,180
35954,2206,2,180
2767,2768,2,120
35776,817,2,300
435,434,2,180
35776,818,2,300
45801,2206,2,60
42562,42561,2,60
2052,2051,2,120
42560,42559,2,60
276,281,2,180
35775,818,2,300
817,818,2,120
42559,42560,2,60
35834,32503,2,60
2051,2052,2,120
2206,45802,2,60
35775,817,2,300
35954,45802,2,60
434,435,2,180
42558,42557,2,60
333,334,2,120
45801,35954,2,60
818,817,2,120
334,333,2,120
2768,2767,2,120
45801,45802,2,60
42561,42562,2,60
45801,46191,2,60
2206,47118,2,60
45801,47118,2,60
35954,46191,2,60
35834,47118,2,180
35834,46191,2,180
2206,46191,2,60
35954,47118,2,60
35957,35774,2,60
35957,46593,2,60
11882,11883,2,120
817,35775,2,300
35775,35776,2,60
35958,46593,2,60
818,35776,2,300
35958,35774,2,60
818,35775,2,300
35776,35775,2,60
11883,11882,2,120
11881,11880,2,120
817,35776,2,300
11880,11881,2,120
3149,3148,2,120
35958,10946,2,360
2768,3398,2,120
35957,10947,2,360
35958,11921,2,60
2767,3398,2,120
35956,2187,2,60
35958,10947,2,360
35957,10946,2,360
35955,2187,2,60
35957,11921,2,60
35955,2189,2,60
35956,2189,2,60
3148,3149,2,120
45801,39054,2,180
45801,11534,2,180
2206,39054,2,180
35954,39054,2,180
35954,11534,2,180
35834,39054,2,60
35834,11534,2,60
45801,46088,2,180
35954,46088,2,180
35834,46088,2,60
2206,46088,2,180
35834,34350,2,60
42214,42235,2,60
45801,34350,2,180
42214,42236,2,60
434,11810,2,180
435,11810,2,180
42558,2992,2,480
42557,2993,2,60
42557,2992,2,480
434,46644,2,60
42558,2993,2,60
435,46644,2,60
35834,11213,2,60
45801,11213,2,180
42557,44018,2,60
42558,44018,2,60
35958,47110,2,180
35957,47110,2,180
2767,10898,2,120
2768,10898,2,120
435,43058,2,60
434,43058,2,60
35834,11738,2,360
45801,11738,2,180
42214,30159,2,180
42214,41994,2,60
42214,41995,2,60
434,46645,2,60
435,46645,2,60
45801,36375,2,180
35958,2186,2,60
35957,2186,2,60
10458,10457,2,120
35958,10637,2,360
10457,10458,2,120
2206,36375,2,180
35956,35955,2,60
35957,10638,2,360
35957,2185,2,60
35958,2185,2,60
35957,10637,2,360
35954,36375,2,180
35834,36375,2,60
35958,10638,2,360
334,10999,2,120
333,10964,2,120
334,10964,2,120
333,10999,2,120
434,42740,2,180
434,46055,2,180
435,46055,2,180
435,42740,2,180
281,46022,2,180
434,30472,2,300
276,46023,2,180
276,46022,2,180
35834,46024,2,180
281,46023,2,180
35834,46025,2,180
435,30472,2,300
42214,3378,2,60
2058,2057,2,120
1213,1212,2,120
1212,1213,2,120
41101,41214,2,60
2057,2058,2,120
2055,2056,2,120
2056,2055,2,120
41214,41101,2,60
32503,32121,2,240
45802,32120,2,180
32503,32120,2,360
45802,32121,2,180
32503,35659,2,360
32503,45884,2,180
32503,45848,2,180
32503,45883,2,180
45802,35954,2,60
45802,35834,2,180
45802,45801,2,60
32503,45801,2,180
32503,35834,2,60
2206,45801,2,60
35954,45801,2,60
35834,45801,2,180
45802,2206,2,60
45802,47118,2,60
32503,47118,2,180
32503,46191,2,180
45802,46191,2,60
12238,12239,2,120
35818,35817,2,60
12239,12238,2,120
1989,1988,2,120
1988,1989,2,120
35817,35818,2,60
45802,32503,2,180
32503,11534,2,120
45802,11534,2,180
32503,39054,2,60
45802,39054,2,180
32503,46088,2,60
45802,46088,2,180
45802,34350,2,180
32503,34350,2,180
32503,11213,2,180
45802,11213,2,180
32503,11738,2,360
45802,11738,2,180
43736,42575,2,60
43737,42575,2,60
483,482,2,120
32503,36375,2,60
45802,36375,2,180
482,484,2,120
482,46215,2,60
3346,37980,2,60
3346,10585,2,120
483,46215,2,60
483,484,2,120
10585,37980,2,60
32503,46024,2,180
32503,46025,2,180
43736,37439,2,240
43737,37438,2,240
43737,43736,2,60
43736,43737,2,60
43737,37439,2,240
43736,37438,2,240
3516,2328,2,180
1777,1778,2,120
3517,2328,2,180
42751,2608,2,180
1778,1777,2,120
42752,47392,2,180
3516,2327,2,180
42476,42475,2,60
42475,42476,2,60
3517,2327,2,180
42752,47391,2,180
42751,47392,2,180
10740,42474,2,60
482,42478,2,60
483,42478,2,60
43736,42574,2,60
43737,42574,2,60
42751,47391,2,180
42752,2607,2,180
42474,10740,2,60
482,483,2,120
42752,2608,2,180
42751,2607,2,180
47118,32120,2,180
47004,32122,2,180
46191,32121,2,180
47118,32121,2,180
2982,32122,2,120
2982,32123,2,120
46191,32120,2,180
47004,32123,2,180
47004,35659,2,360
47004,45884,2,360
2982,35659,2,300
47004,45848,2,360
2982,45848,2,300
2982,45884,2,300
47004,45883,2,360
2982,45883,2,300
47118,35954,2,60
46191,35954,2,60
46191,35834,2,180
47118,2206,2,60
47118,35834,2,180
47118,45801,2,60
46191,45801,2,60
46191,2206,2,60
47118,32503,2,180
46191,45802,2,60
46191,32503,2,180
47118,45802,2,60
46735,2705,2,60
2708,2705,2,120
2707,2705,2,120
2708,2707,2,120
46735,2707,2,60
43222,43224,2,60
46290,43224,2,60
46290,599,2,60
43224,599,2,60
1190,1192,2,240
599,43224,2,60
11529,1191,2,180
43222,599,2,60
1190,1191,2,240
11529,1192,2,180
46191,39054,2,180
47118,39054,2,180
46191,11534,2,180
47118,11534,2,180
33468,3054,2,60
33469,3055,2,60
1513,1506,2,120
1072,1071,2,120
1513,1515,2,120
33468,3055,2,60
1595,1596,2,120
1071,1072,2,120
1596,1595,2,120
1508,1506,2,120
2500,2499,2,120
33469,3054,2,60
2499,2500,2,120
1508,1515,2,120
47118,46088,2,180
46191,46088,2,180
667,47327,2,60
47120,47121,2,60
47144,1076,2,60
227,47326,2,60
47007,1076,2,60
47326,227,2,60
1508,1511,2,120
47144,1077,2,60
47121,47120,2,60
47007,1077,2,60
47327,667,2,60
1513,1511,2,120
2707,2708,2,120
43224,46290,2,60
2708,46735,2,60
1190,11529,2,180
43224,43222,2,60
47002,47003,2,60
2707,46735,2,60
47003,47002,2,60
46191,34350,2,180
11529,1190,2,180
47118,46191,2,60
46290,43222,2,60
599,43222,2,60
43222,46290,2,60
46735,2708,2,60
47118,34350,2,180
599,46290,2,60
30000,2842,2,180
46307,46289,2,60
46289,46307,2,60
1190,34934,2,120
3305,2842,2,180
11529,34934,2,180
1508,1505,2,120
1513,1505,2,120
47030,50,2,60
47030,51,2,60
47119,50,2,60
47119,51,2,60
1513,1514,2,120
1508,1514,2,120
227,47008,2,60
47326,47008,2,60
1508,30180,2,120
1513,30180,2,120
1190,1198,2,180
11529,1198,2,180
47118,11213,2,180
46191,11213,2,180
47007,47144,2,60
47144,47007,2,60
36014,47382,2,60
1513,1509,2,120
1936,1937,2,120
36014,47381,2,60
10300,1938,2,120
1508,1509,2,120
10300,1937,2,120
11516,11515,2,120
1513,1507,2,120
2500,47599,2,60
2499,47599,2,60
1936,1938,2,120
11515,11516,2,120
1508,1507,2,120
43224,43226,2,60
43224,43225,2,60
599,43226,2,60
599,43225,2,60
46290,43226,2,60
43222,43225,2,60
46290,43225,2,60
43222,43226,2,60
46290,10945,2,60
599,10945,2,120
43222,10945,2,60
43224,10945,2,60
599,43496,2,60
43224,43496,2,60
47030,47119,2,60
46290,43496,2,60
43222,43496,2,60
47001,47000,2,60
47118,11738,2,180
46191,11738,2,180
1190,30156,2,120
11529,30156,2,240
47003,36995,2,60
47003,36994,2,60
47002,36994,2,60
47002,36995,2,60
47118,36375,2,180
46191,36375,2,180
10300,1936,2,120
1784,1785,2,120
1785,1784,2,120
1936,10300,2,120
33063,33062,2,120
33062,33063,2,120
1513,1510,2,120
33468,10298,2,60
1508,1510,2,120
33469,10298,2,60
1508,1512,2,120
1513,1512,2,120
47208,47207,2,60
47207,47208,2,60
1072,43218,2,60
1072,1070,2,120
1071,43218,2,60
1508,1504,2,120
1071,1070,2,120
1513,1504,2,120
1513,46060,2,180
43224,46050,2,180
599,46050,2,180
1190,46052,2,120
1513,46061,2,180
46290,46050,2,180
43222,42744,2,180
11529,46052,2,180
43224,42744,2,180
599,42744,2,180
1508,46060,2,180
11529,42743,2,180
46290,42744,2,180
43222,46050,2,180
1190,42743,2,120
1508,46061,2,180
30000,3305,2,120
3305,30000,2,120
11529,3503,2,180
1190,3503,2,180
11529,30173,2,180
1190,30173,2,120
1190,46222,2,60
11529,46222,2,60
36999,47005,2,60
2982,47004,2,60
1120,32115,2,120
1248,32143,2,180
1248,32142,2,180
1121,32115,2,120
1121,32114,2,120
1120,32114,2,120
35774,35958,2,60
46593,35958,2,60
46593,35957,2,60
35774,35957,2,60
2705,46735,2,60
2705,2708,2,120
2705,2707,2,120
46593,10946,2,180
35774,10947,2,360
46593,11921,2,60
46593,35774,2,60
35774,10946,2,360
35774,11921,2,60
931,930,2,120
807,805,2,120
46593,10947,2,180
806,805,2,120
35774,46593,2,60
807,808,2,120
806,808,2,120
1248,32404,2,120
1248,1252,2,120
1248,1253,2,120
1120,1122,2,120
1121,1122,2,120
2700,2701,2,180
10068,2701,2,180
1248,12314,2,120
2700,2702,2,180
2700,10068,2,180
2975,2978,2,120
3023,3024,2,120
3024,3023,2,120
10068,2702,2,180
2978,2975,2,120
1248,32482,2,120
1121,1120,2,120
2710,2709,2,120
1120,1121,2,120
10068,2700,2,180
2709,2710,2,120
46593,47110,2,180
35774,47110,2,180
843,842,2,120
842,843,2,120
807,806,2,120
930,931,2,120
2700,30197,2,240
10068,30198,2,240
2700,30198,2,240
10068,30197,2,240
3024,3025,2,120
3023,3025,2,120
46593,2186,2,60
46593,10637,2,180
35774,10637,2,360
46593,10638,2,180
46593,2185,2,60
35774,2185,2,60
35774,2186,2,60
35774,10638,2,360
930,42742,2,180
931,42742,2,180
930,46053,2,180
931,46053,2,180
2700,46040,2,180
1121,46027,2,180
1121,46026,2,180
1248,46029,2,180
2700,30133,2,240
1120,46027,2,180
1248,46028,2,180
10068,46040,2,180
1120,46026,2,180
10068,30133,2,240
35794,35795,2,60
2187,35955,2,60
10946,35957,2,360
10947,35957,2,360
10947,35958,2,360
11921,35958,2,60
10946,35958,2,360
2187,35956,2,60
11921,35957,2,60
3398,2767,2,120
3398,2768,2,120
1192,1190,2,240
1191,1190,2,240
1192,11529,2,180
1191,11529,2,180
10946,46593,2,180
10947,46593,2,180
805,806,2,120
10947,35774,2,360
805,807,2,120
11921,35774,2,60
10946,35774,2,360
11921,46593,2,60
805,808,2,120
10889,2495,2,120
10889,2496,2,120
903,904,2,120
2494,2496,2,120
2187,2189,2,180
2494,2495,2,120
1191,34934,2,240
1192,34934,2,240
1192,1198,2,300
1191,1198,2,300
1192,1191,2,180
11921,10946,2,360
10946,47110,2,60
11921,47110,2,180
10947,10946,2,120
2494,10889,2,120
3398,10898,2,120
10947,47110,2,60
10889,2494,2,120
1191,1192,2,180
3130,3129,2,120
2307,2308,2,120
47520,46198,2,60
47548,47660,2,60
2169,47521,2,60
2308,2307,2,120
47521,2169,2,60
3046,3047,2,120
1327,47661,2,60
1327,47660,2,60
47548,47661,2,60
46198,47520,2,60
3047,3046,2,120
3129,3130,2,120
1191,30156,2,240
1192,30156,2,240
10946,10637,2,120
11921,10637,2,360
10947,2186,2,360
10946,2185,2,360
10946,10638,2,120
10947,10637,2,120
11921,2186,2,180
10947,10638,2,120
11921,2185,2,180
10946,2186,2,360
10947,2185,2,360
11921,10638,2,360
1191,46052,2,240
1192,46052,2,240
1191,42743,2,240
1192,42743,2,240
1191,3503,2,300
1192,3503,2,300
3129,46515,2,60
3130,46515,2,60
1192,30173,2,240
1191,30173,2,240
1191,46222,2,240
1192,46222,2,240
1382,1383,2,120
